order_item_id,order_id,potion_sku,quantity,unit_price_copper
ITM-000001,ORD-000001,POT-0026,1,861
ITM-000002,ORD-000001,POT-0003,1,455
ITM-000003,ORD-000001,POT-0025,5,719
ITM-000004,ORD-000002,POT-0080,1,581
ITM-000005,ORD-000002,POT-0065,2,1071
ITM-000006,ORD-000002,POT-0041,1,1291
ITM-000007,ORD-000002,POT-0011,2,1426
ITM-000008,ORD-000002,POT-0038,1,563
ITM-000009,ORD-000003,POT-0020,1,1396
ITM-000010,ORD-000003,POT-0009,3,569
ITM-000011,ORD-000004,POT-0083,1,1384
ITM-000012,ORD-000004,POT-0034,4,678
ITM-000013,ORD-000004,POT-0064,2,721
ITM-000014,ORD-000004,POT-0029,1,1256
ITM-000015,ORD-000004,POT-0047,4,1475
ITM-000016,ORD-000004,POT-0066,1,274
ITM-000017,ORD-000005,POT-0049,1,1498
ITM-000018,ORD-000005,POT-0053,1,802
ITM-000019,ORD-000005,POT-0069,3,128
ITM-000020,ORD-000005,POT-0042,3,1501
ITM-000021,ORD-000005,POT-0100,1,540
ITM-000022,ORD-000006,POT-0085,1,1346
ITM-000023,ORD-000006,POT-0119,1,485
ITM-000024,ORD-000007,POT-0034,1,653
ITM-000025,ORD-000007,POT-0036,1,792
ITM-000026,ORD-000007,POT-0025,1,781
ITM-000027,ORD-000008,POT-0005,3,989
ITM-000028,ORD-000008,POT-0065,2,1063
ITM-000029,ORD-000008,POT-0041,1,1389
ITM-000030,ORD-000008,POT-0012,1,229
ITM-000031,ORD-000009,POT-0004,2,1460
ITM-000032,ORD-000009,POT-0038,2,560
ITM-000033,ORD-000009,POT-0043,1,695
ITM-000034,ORD-000010,POT-0022,5,270
ITM-000035,ORD-000010,POT-0001,2,99
ITM-000036,ORD-000010,POT-0038,1,534
ITM-000037,ORD-000010,POT-0101,5,645
ITM-000038,ORD-000011,POT-0083,5,1296
ITM-000039,ORD-000011,POT-0093,1,911
ITM-000040,ORD-000011,POT-0046,1,902
ITM-000041,ORD-000011,POT-0005,3,993
ITM-000042,ORD-000011,POT-0065,2,1048
ITM-000043,ORD-000012,POT-0065,2,1022
ITM-000044,ORD-000012,POT-0005,1,958
ITM-000045,ORD-000012,POT-0024,1,1544
ITM-000046,ORD-000012,POT-0036,1,805
ITM-000047,ORD-000013,POT-0002,1,952
ITM-000048,ORD-000013,POT-0091,3,276
ITM-000049,ORD-000013,POT-0046,1,893
ITM-000050,ORD-000013,POT-0073,3,1265
ITM-000051,ORD-000013,POT-0025,1,739
ITM-000052,ORD-000013,POT-0100,2,539
ITM-000053,ORD-000013,POT-0105,1,882
ITM-000054,ORD-000014,POT-0100,1,535
ITM-000055,ORD-000014,POT-0038,1,570
ITM-000056,ORD-000015,POT-0063,1,1519
ITM-000057,ORD-000015,POT-0067,3,176
ITM-000058,ORD-000015,POT-0065,1,1083
ITM-000059,ORD-000015,POT-0012,1,217
ITM-000060,ORD-000015,POT-0047,1,1537
ITM-000061,ORD-000016,POT-0011,1,1529
ITM-000062,ORD-000016,POT-0066,2,270
ITM-000063,ORD-000016,POT-0003,1,479
ITM-000064,ORD-000017,POT-0079,3,1017
ITM-000065,ORD-000017,POT-0047,1,1473
ITM-000066,ORD-000018,POT-0091,1,264
ITM-000067,ORD-000018,POT-0079,1,1093
ITM-000068,ORD-000019,POT-0069,3,130
ITM-000069,ORD-000019,POT-0091,1,267
ITM-000070,ORD-000020,POT-0009,3,538
ITM-000071,ORD-000020,POT-0116,4,1235
ITM-000072,ORD-000020,POT-0100,2,558
ITM-000073,ORD-000021,POT-0067,1,175
ITM-000074,ORD-000021,POT-0036,1,823
ITM-000075,ORD-000021,POT-0002,1,967
ITM-000076,ORD-000022,POT-0061,1,275
ITM-000077,ORD-000022,POT-0068,2,753
ITM-000078,ORD-000022,POT-0002,1,939
ITM-000079,ORD-000022,POT-0093,2,917
ITM-000080,ORD-000023,POT-0026,1,878
ITM-000081,ORD-000023,POT-0041,1,1321
ITM-000082,ORD-000023,POT-0042,1,1509
ITM-000083,ORD-000023,POT-0038,3,532
ITM-000084,ORD-000023,POT-0022,1,262
ITM-000085,ORD-000023,POT-0078,5,682
ITM-000086,ORD-000023,POT-0004,1,1465
ITM-000087,ORD-000024,POT-0046,1,873
ITM-000088,ORD-000024,POT-0047,1,1474
ITM-000089,ORD-000024,POT-0084,1,779
ITM-000090,ORD-000024,POT-0064,1,680
ITM-000091,ORD-000025,POT-0070,4,357
ITM-000092,ORD-000025,POT-0090,2,120
ITM-000093,ORD-000026,POT-0102,1,1259
ITM-000094,ORD-000026,POT-0058,3,318
ITM-000095,ORD-000026,POT-0090,2,127
ITM-000096,ORD-000026,POT-0063,1,1422
ITM-000097,ORD-000026,POT-0104,1,206
ITM-000098,ORD-000027,POT-0046,2,843
ITM-000099,ORD-000027,POT-0049,1,1400
ITM-000100,ORD-000028,POT-0029,3,1168
ITM-000101,ORD-000028,POT-0052,1,95
ITM-000102,ORD-000028,POT-0003,1,458
ITM-000103,ORD-000028,POT-0093,3,890
ITM-000104,ORD-000028,POT-0009,1,556
ITM-000105,ORD-000028,POT-0005,1,951
ITM-000106,ORD-000029,POT-0079,1,1098
ITM-000107,ORD-000029,POT-0084,2,730
ITM-000108,ORD-000030,POT-0073,1,1266
ITM-000109,ORD-000030,POT-0025,3,739
ITM-000110,ORD-000030,POT-0083,1,1355
ITM-000111,ORD-000031,POT-0094,1,1095
ITM-000112,ORD-000031,POT-0085,1,1408
ITM-000113,ORD-000031,POT-0034,1,674
ITM-000114,ORD-000031,POT-0012,1,227
ITM-000115,ORD-000031,POT-0020,2,1413
ITM-000116,ORD-000031,POT-0073,2,1316
ITM-000117,ORD-000031,POT-0082,2,317
ITM-000118,ORD-000031,POT-0024,1,1463
ITM-000119,ORD-000032,POT-0005,1,995
ITM-000120,ORD-000032,POT-0003,1,462
ITM-000121,ORD-000033,POT-0082,1,327
ITM-000122,ORD-000034,POT-0009,1,543
ITM-000123,ORD-000034,POT-0071,1,736
ITM-000124,ORD-000034,POT-0094,3,1128
ITM-000125,ORD-000034,POT-0051,4,1095
ITM-000126,ORD-000034,POT-0081,1,942
ITM-000127,ORD-000035,POT-0003,2,461
ITM-000128,ORD-000035,POT-0108,4,1311
ITM-000129,ORD-000035,POT-0090,1,129
ITM-000130,ORD-000036,POT-0079,1,1081
ITM-000131,ORD-000036,POT-0080,1,590
ITM-000132,ORD-000037,POT-0068,3,759
ITM-000133,ORD-000037,POT-0026,1,824
ITM-000134,ORD-000038,POT-0090,1,129
ITM-000135,ORD-000038,POT-0026,2,873
ITM-000136,ORD-000038,POT-0085,1,1381
ITM-000137,ORD-000038,POT-0102,2,1252
ITM-000138,ORD-000038,POT-0064,2,711
ITM-000139,ORD-000038,POT-0084,2,784
ITM-000140,ORD-000038,POT-0042,2,1438
ITM-000141,ORD-000038,POT-0100,3,538
ITM-000142,ORD-000039,POT-0094,2,1075
ITM-000143,ORD-000039,POT-0116,1,1263
ITM-000144,ORD-000039,POT-0041,2,1382
ITM-000145,ORD-000040,POT-0017,1,1331
ITM-000146,ORD-000041,POT-0061,1,282
ITM-000147,ORD-000041,POT-0029,3,1152
ITM-000148,ORD-000042,POT-0051,1,1016
ITM-000149,ORD-000042,POT-0075,2,862
ITM-000150,ORD-000043,POT-0081,2,921
ITM-000151,ORD-000044,POT-0084,1,715
ITM-000152,ORD-000044,POT-0005,1,991
ITM-000153,ORD-000045,POT-0024,1,1525
ITM-000154,ORD-000045,POT-0023,1,641
ITM-000155,ORD-000045,POT-0003,1,492
ITM-000156,ORD-000045,POT-0058,1,310
ITM-000157,ORD-000045,POT-0009,2,574
ITM-000158,ORD-000046,POT-0085,2,1296
ITM-000159,ORD-000046,POT-0116,1,1193
ITM-000160,ORD-000047,POT-0062,1,123
ITM-000161,ORD-000048,POT-0025,2,770
ITM-000162,ORD-000048,POT-0036,1,853
ITM-000163,ORD-000048,POT-0034,1,650
ITM-000164,ORD-000048,POT-0002,1,902
ITM-000165,ORD-000049,POT-0063,2,1444
ITM-000166,ORD-000049,POT-0110,1,1493
ITM-000167,ORD-000050,POT-0070,1,340
ITM-000168,ORD-000050,POT-0119,2,451
ITM-000169,ORD-000050,POT-0021,1,839
ITM-000170,ORD-000050,POT-0005,1,955
ITM-000171,ORD-000050,POT-0043,1,652
ITM-000172,ORD-000050,POT-0080,1,601
ITM-000173,ORD-000050,POT-0064,1,670
ITM-000174,ORD-000051,POT-0102,1,1235
ITM-000175,ORD-000051,POT-0090,2,124
ITM-000176,ORD-000051,POT-0079,1,1094
ITM-000177,ORD-000051,POT-0094,1,1065
ITM-000178,ORD-000052,POT-0079,2,1049
ITM-000179,ORD-000052,POT-0017,2,1314
ITM-000180,ORD-000052,POT-0005,1,975
ITM-000181,ORD-000052,POT-0073,2,1235
ITM-000182,ORD-000053,POT-0044,2,702
ITM-000183,ORD-000053,POT-0081,1,930
ITM-000184,ORD-000053,POT-0021,3,918
ITM-000185,ORD-000053,POT-0108,4,1366
ITM-000186,ORD-000054,POT-0021,1,853
ITM-000187,ORD-000054,POT-0115,4,552
ITM-000188,ORD-000054,POT-0079,1,1093
ITM-000189,ORD-000055,POT-0020,1,1353
ITM-000190,ORD-000056,POT-0114,5,520
ITM-000191,ORD-000056,POT-0035,3,1086
ITM-000192,ORD-000056,POT-0103,1,1159
ITM-000193,ORD-000056,POT-0025,4,734
ITM-000194,ORD-000057,POT-0004,2,1488
ITM-000195,ORD-000057,POT-0046,1,899
ITM-000196,ORD-000057,POT-0049,1,1405
ITM-000197,ORD-000058,POT-0116,1,1284
ITM-000198,ORD-000058,POT-0110,1,1452
ITM-000199,ORD-000058,POT-0034,1,650
ITM-000200,ORD-000059,POT-0046,1,854
ITM-000201,ORD-000059,POT-0049,3,1418
ITM-000202,ORD-000059,POT-0078,5,701
ITM-000203,ORD-000060,POT-0018,3,1096
ITM-000204,ORD-000061,POT-0044,1,662
ITM-000205,ORD-000061,POT-0036,1,860
ITM-000206,ORD-000061,POT-0045,1,1129
ITM-000207,ORD-000061,POT-0080,1,593
ITM-000208,ORD-000061,POT-0043,1,698
ITM-000209,ORD-000061,POT-0003,3,455
ITM-000210,ORD-000062,POT-0070,1,341
ITM-000211,ORD-000062,POT-0065,3,1034
ITM-000212,ORD-000062,POT-0038,1,538
ITM-000213,ORD-000062,POT-0061,1,271
ITM-000214,ORD-000063,POT-0011,1,1419
ITM-000215,ORD-000064,POT-0091,2,271
ITM-000216,ORD-000064,POT-0071,1,707
ITM-000217,ORD-000065,POT-0036,1,857
ITM-000218,ORD-000065,POT-0071,1,752
