order_id,customer_id,shop_id,ordered_at,status,channel,discount_copper
ORD-000001,WIZ-01891,SHP-04,2024-07-01 09:35:34,completed,in_store,0
ORD-000002,WIZ-10692,SHP-01,2024-07-01T14:05:41Z,completed,in_store,0
ORD-000003,WIZ-01925,SHP-13,2024-07-01T14:22:46Z,cancelled,in_store,0
ORD-000004,WIZ-10922,SHP-14,2024-07-01T15:30:52Z,completed,courier_owl,0
ORD-000005,WIZ-15960,SHP-07,2024-07-01T13:19:39Z,completed,courier_owl,0
ORD-000006,WIZ-17688,SHP-07,2024-07-01T09:30:23Z,Completed,in_store,0
ORD-000007,WIZ-12967,SHP-09,2024-07-01 11:30:53,completed,in_store,0
ORD-000008,WIZ-12797,SHP-04,2024-07-01T16:23:06Z,completed,marketplace,0
ORD-000009,WIZ-16758,SHP-05,2024-07-01 11:22:45,cancelled,marketplace,0
ORD-000010,WIZ-13813,SHP-03,2024-07-01 13:58:16,completed,marketplace,0
ORD-000011,WIZ-06800,SHP-10,2024-07-01T11:40:13Z,Returned,in_store,0
ORD-000012,WIZ-03333,SHP-14,2024-07-01T15:59:40Z,returned,in_store,0
ORD-000013,WIZ-03583,SHP-12,2024-07-01T17:50:36Z,returned,courier_owl,0
ORD-000014,WIZ-16067,SHP-11,2024-07-01T12:29:12Z,completed,marketplace,0
ORD-000015,WIZ-15660,SHP-01,2024-07-01 09:19:52,returned,in_store,0
ORD-000016,WIZ-03886,SHP-15,2024-07-01T16:42:09Z,completed,marketplace,450
ORD-000017,WIZ-00659,SHP-07,2024-07-01T12:00:37Z,completed,courier_owl,0
ORD-000018,WIZ-02194,SHP-10,2024-07-01 10:27:03,Cancelled,marketplace,0
ORD-000019,WIZ-14409,SHP-10,2024-07-01 10:26:32,Completed,in_store,0
ORD-000020,WIZ-06325,SHP-14,2024-07-01 12:29:38,Completed,marketplace,0
ORD-000021,WIZ-07464,SHP-10,2024-07-01T13:43:14Z,COMPLETED,in_store,0
ORD-000022,WIZ-01518,SHP-08,2024-07-01 13:37:00,Completed,in_store,0
ORD-000023,WIZ-09724,SHP-10,2024-07-01 15:41:53,completed,in_store,0
ORD-000024,WIZ-17549,SHP-10,2024-07-01 12:05:57,Completed,in_store,0
ORD-000025,WIZ-10262,SHP-11,2024-07-01 12:41:31,completed,courier_owl,225
ORD-000026,WIZ-12513,SHP-02,2024-07-01T10:28:26Z,Completed,in_store,0
ORD-000027,WIZ-02590,SHP-06,2024-07-01T17:08:22Z,completed,in_store,75
ORD-000028,WIZ-09694,SHP-07,2024-07-01T17:07:53Z,Completed,courier_owl,0
ORD-000029,WIZ-00355,SHP-06,2024-07-01 16:09:28,completed,marketplace,0
ORD-000030,WIZ-05897,SHP-08,2024-07-01 10:37:23,completed,in_store,0
ORD-000031,WIZ-02110,SHP-12,2024-07-01 13:38:30,Completed,in_store,0
ORD-000032,WIZ-07947,SHP-03,2024-07-01 16:07:05,completed,marketplace,0
ORD-000033,WIZ-03904,SHP-04,2024-07-01T14:38:09Z,completed,courier_owl,0
ORD-000034,WIZ-12369,SHP-11,2024-07-01T13:58:40Z,completed,in_store,0
ORD-000035,WIZ-08279,SHP-02,2024-07-01T15:12:37Z,Completed,courier_owl,0
ORD-000036,WIZ-03251,SHP-03,2024-07-01 15:23:28,completed,courier_owl,0
ORD-000037,WIZ-12005,SHP-11,2024-07-01T10:17:56Z,completed,in_store,0
ORD-000038,WIZ-04432,SHP-04,2024-07-01T14:03:17Z,Completed,in_store,0
ORD-000039,WIZ-04915,SHP-01,2024-07-01 13:01:29,completed,in_store,0
ORD-000040,WIZ-18349,SHP-13,2024-07-01T10:20:08Z,COMPLETED,in_store,475
ORD-000041,WIZ-08368,SHP-15,2024-07-01T13:55:21Z,Completed,marketplace,100
ORD-000042,WIZ-12092,SHP-06,2024-07-01T09:31:15Z,completed,in_store,0
ORD-000043,WIZ-00095,SHP-07,2024-07-01T13:33:16Z,completed,courier_owl,0
ORD-000044,WIZ-05877,SHP-02,2024-07-01 12:52:37,completed,in_store,0
ORD-000045,WIZ-04567,SHP-11,2024-07-01T13:49:43Z,COMPLETED,in_store,0
ORD-000046,WIZ-07268,SHP-15,2024-07-01T17:56:13Z,COMPLETED,in_store,0
ORD-000047,WIZ-02090,SHP-04,2024-07-01T16:14:42Z,COMPLETED,in_store,0
ORD-000048,WIZ-10219,SHP-08,2024-07-01T10:27:05Z,completed,in_store,0
ORD-000049,WIZ-19715,SHP-01,2024-07-01 13:41:32,Completed,in_store,100
ORD-000050,WIZ-06535,SHP-13,2024-07-01 15:18:04,completed,courier_owl,0
ORD-000051,WIZ-17477,SHP-02,2024-07-01 08:32:14,completed,in_store,0
ORD-000052,WIZ-14670,SHP-14,2024-07-01T09:25:24Z,COMPLETED,in_store,0
ORD-000053,WIZ-17805,SHP-01,2024-07-01T13:44:44Z,completed,courier_owl,0
ORD-000054,WIZ-15198,SHP-06,2024-07-01 14:16:03,Completed,marketplace,0
ORD-000055,WIZ-05519,SHP-03,2024-07-01T16:35:58Z,completed,courier_owl,100
ORD-000056,WIZ-14813,SHP-02,2024-07-01 13:43:59,returned,in_store,0
ORD-000057,WIZ-18063,SHP-04,2024-07-01T18:15:03Z,completed,in_store,0
ORD-000058,WIZ-05999,SHP-01,2024-07-01T16:46:16Z,Completed,courier_owl,0
ORD-000059,WIZ-19421,SHP-02,2024-07-01T17:01:08Z,completed,in_store,0
ORD-000060,WIZ-10677,SHP-04,2024-07-01 12:08:57,completed,in_store,0
ORD-000061,WIZ-04828,SHP-06,2024-07-01 14:20:49,Completed,in_store,0
ORD-000062,WIZ-15706,SHP-02,2024-07-01T13:12:21Z,completed,in_store,0
ORD-000063,WIZ-16498,SHP-04,2024-07-01T15:20:23Z,COMPLETED,courier_owl,0
ORD-000064,WIZ-07903,SHP-07,2024-07-01 16:42:24,completed,in_store,0
ORD-000065,WIZ-06262,SHP-07,2024-07-01T16:58:40Z,completed,in_store,0
ORD-000066,WIZ-03320,SHP-02,2024-07-02 17:29:21,completed,in_store,0
ORD-000067,WIZ-10167,SHP-09,2024-07-02T14:46:21Z,completed,in_store,0
ORD-000068,WIZ-14481,SHP-06,2024-07-02 14:28:51,completed,marketplace,0
ORD-000069,WIZ-01462,SHP-09,2024-07-02T15:55:09Z,returned,marketplace,0
ORD-000070,WIZ-05394,SHP-04,2024-07-02T13:29:05Z,completed,in_store,0
ORD-000071,WIZ-15970,SHP-09,2024-07-02 10:41:33,completed,courier_owl,0
ORD-000072,WIZ-05075,SHP-08,2024-07-02T10:51:55Z,Completed,in_store,425
ORD-000073,WIZ-01274,SHP-15,2024-07-02T13:26:04Z,Completed,in_store,0
ORD-000074,WIZ-09897,SHP-01,2024-07-02 14:15:36,completed,in_store,0
ORD-000075,WIZ-08656,SHP-07,2024-07-02 18:05:20,completed,in_store,0
ORD-000076,WIZ-16810,SHP-13,2024-07-02 14:02:39,completed,marketplace,0
ORD-000077,WIZ-02184,SHP-09,2024-07-02T16:45:45Z,completed,courier_owl,0
ORD-000078,WIZ-00910,SHP-14,2024-07-02T12:08:43Z,completed,in_store,0
ORD-000079,WIZ-19271,SHP-01,2024-07-02 11:32:49,completed,in_store,0
ORD-000080,WIZ-17449,SHP-08,2024-07-02T11:36:59Z,completed,courier_owl,0
ORD-000081,WIZ-13459,SHP-04,2024-07-02 08:07:05,COMPLETED,courier_owl,0
ORD-000082,WIZ-16529,SHP-15,2024-07-02 12:54:42,returned,in_store,0
ORD-000083,WIZ-02708,SHP-06,2024-07-02T11:28:36Z,Completed,in_store,0
ORD-000084,WIZ-16008,SHP-01,2024-07-02T15:13:32Z,completed,courier_owl,0
ORD-000085,WIZ-05583,SHP-03,2024-07-02 13:44:23,completed,in_store,125
ORD-000086,WIZ-15384,SHP-01,2024-07-02T14:26:38Z,completed,in_store,0
ORD-000087,WIZ-12260,SHP-09,2024-07-02 19:46:36,Completed,marketplace,0
ORD-000088,WIZ-18227,SHP-09,2024-07-02 12:57:38,returned,courier_owl,0
ORD-000089,WIZ-03227,SHP-03,2024-07-02 13:45:43,completed,courier_owl,0
ORD-000090,WIZ-05568,SHP-05,2024-07-02 14:26:48,completed,courier_owl,0
ORD-000091,WIZ-06082,SHP-05,2024-07-02 12:36:44,completed,marketplace,0
ORD-000092,WIZ-07851,SHP-01,2024-07-02 08:10:35,completed,courier_owl,0
ORD-000093,WIZ-03051,SHP-01,2024-07-02 12:33:24,completed,in_store,0
ORD-000094,WIZ-11668,SHP-07,2024-07-02T13:53:32Z,completed,in_store,0
ORD-000095,WIZ-18538,SHP-02,2024-07-02T15:39:05Z,completed,courier_owl,0
ORD-000096,WIZ-18882,SHP-13,2024-07-02T13:12:20Z,completed,in_store,0
ORD-000097,WIZ-18871,SHP-02,2024-07-02 14:32:02,completed,marketplace,275
ORD-000098,WIZ-10440,SHP-11,2024-07-02T17:26:35Z,completed,courier_owl,0
ORD-000099,WIZ-01124,SHP-07,2024-07-02T14:17:51Z,completed,courier_owl,0
ORD-000100,WIZ-02475,SHP-08,2024-07-02 10:05:03,completed,in_store,150
ORD-000101,WIZ-01373,SHP-08,2024-07-02T12:44:41Z,completed,marketplace,0
ORD-000102,WIZ-10125,SHP-12,2024-07-02 16:05:47,Completed,in_store,0
ORD-000103,WIZ-11748,SHP-04,2024-07-02T19:37:35Z,cancelled,courier_owl,0
ORD-000104,WIZ-12967,SHP-08,2024-07-02T12:53:13Z,Completed,in_store,0
ORD-000105,WIZ-17282,SHP-06,2024-07-02T13:24:15Z,completed,courier_owl,0
ORD-000106,WIZ-10384,SHP-09,2024-07-02 09:46:23,COMPLETED,in_store,275
ORD-000107,WIZ-07912,SHP-07,2024-07-02T16:05:24Z,Completed,in_store,0
ORD-000108,WIZ-18734,SHP-02,2024-07-02 09:16:46,completed,marketplace,0
ORD-000109,WIZ-00372,SHP-06,2024-07-02T11:20:48Z,completed,in_store,0
ORD-000110,WIZ-01604,SHP-02,2024-07-02 18:28:40,completed,courier_owl,0
ORD-000111,WIZ-17448,SHP-10,2024-07-02T16:49:51Z,Completed,courier_owl,0
ORD-000112,WIZ-01895,SHP-13,2024-07-02T13:17:21Z,completed,in_store,275
ORD-000113,WIZ-07214,SHP-04,2024-07-02 11:41:58,Completed,in_store,0
ORD-000114,WIZ-17143,SHP-15,2024-07-02 18:46:56,completed,in_store,0
ORD-000115,WIZ-12967,SHP-07,2024-07-02 12:09:03,COMPLETED,in_store,0
ORD-000116,WIZ-03458,SHP-05,2024-07-02T12:42:41Z,returned,in_store,0
ORD-000117,WIZ-13640,SHP-09,2024-07-02T13:11:55Z,Completed,in_store,0
