payment_id,order_id,method,amount_copper,status,paid_at
PAY-000001,ORD-000001,guild_credit,4911,success,2024-07-01T09:57:34Z
PAY-000002,ORD-000002,guild_credit,7429,success,2024-07-01 14:23:41
PAY-000003,ORD-000004,coin,6511,success,2024-07-01T15:44:52Z
PAY-000004,ORD-000004,coin,6457,success,2024-07-01 16:01:52
PAY-000005,ORD-000005,crystal_transfer,7727,success,2024-07-01T13:45:39Z
PAY-000006,ORD-000006,barter,1831,success,2024-07-01 09:35:23
PAY-000007,ORD-000007,coin,2226,success,2024-07-01 11:39:53
PAY-000008,ORD-000008,barter,6711,success,2024-07-01T16:31:06Z
PAY-000009,ORD-000009,coin,4735,failed,2024-07-01T11:31:45Z
PAY-000010,ORD-000010,barter,2684,success,2024-07-01T14:16:16Z
PAY-000011,ORD-000010,crystal_transfer,2623,success,2024-07-01 14:33:16
PAY-000012,ORD-000011,crystal_transfer,13368,success,2024-07-01 11:57:13
PAY-000013,ORD-000011,crystal_transfer,13368,refunded,2024-07-01T22:58:13Z
PAY-000014,ORD-000012,barter,5351,success,2024-07-01T16:27:40Z
PAY-000015,ORD-000012,barter,5351,refunded,2024-07-01 23:37:40
PAY-000016,ORD-000013,barter,9167,success,2024-07-01T18:02:36Z
PAY-000017,ORD-000013,barter,9167,refunded,2024-07-05 21:22:36
PAY-000018,ORD-000014,guild_credit,1105,success,2024-07-01 12:47:12
PAY-000019,ORD-000015,guild_credit,4884,success,2024-07-01 09:36:52
PAY-000020,ORD-000015,guild_credit,4884,refunded,2024-07-14T13:25:52Z
PAY-000021,ORD-000016,coin,1042,success,2024-07-01T16:57:09Z
PAY-000022,ORD-000016,coin,1056,success,2024-07-01T17:18:09Z
PAY-000023,ORD-000017,guild_credit,4524,success,2024-07-01 12:15:37
PAY-000024,ORD-000018,coin,1357,failed,2024-07-01T10:32:03Z
PAY-000025,ORD-000019,crystal_transfer,657,success,2024-07-01T10:35:32Z
PAY-000026,ORD-000020,crystal_transfer,7670,success,2024-07-01 12:52:38
PAY-000027,ORD-000021,coin,1965,success,2024-07-01T13:56:14Z
PAY-000028,ORD-000022,guild_credit,4554,success,2024-07-01T13:50:00Z
PAY-000029,ORD-000023,coin,10441,success,2024-07-01T15:56:53Z
PAY-000030,ORD-000024,crystal_transfer,3806,success,2024-07-01T12:30:57Z
PAY-000031,ORD-000025,guild_credit,1443,success,2024-07-01 13:07:31
PAY-000032,ORD-000026,guild_credit,4095,success,2024-07-01 10:53:26
PAY-000033,ORD-000027,coin,3011,success,2024-07-01 17:36:22
