ingredient_id,ingredient_name,supplier_id,unit,unit_cost_copper,is_hazardous,harvest_season
ING-001,dried moonpetal,SUP-09,Gram,79,N,Summer
ING-002,moonpetal,SUP-03,Vial,141,no,Spring
ING-003,distilled wyrm scale,SUP-10,vial,31,no,Autumn
ING-004,powdered wyrm scale,SUP-04,gram,148,N,Winter
ING-005,distilled mandrake root,SUP-14,GRAM,139,N,Winter
ING-006,powdered mandrake root,SUP-09,sprig,158,N,Year-round
ING-007,powdered beetle shell,SUP-13,bundle,185,FALSE,Autumn
ING-008,crushed beetle shell,SUP-08,dram,66,N,Year-round
ING-009,crushed embermoss,SUP-09,sprig,4,Y,Summer
ING-010,dried embermoss,SUP-02,Gram,21,N,Winter
ING-011,candied frost lotus,SUP-04,dram,149,N,Winter
ING-012,distilled frost lotus,SUP-13,pinch,27,N,Winter
ING-013,powdered glowcap mushroom,SUP-08,bundle,170,N,Winter
ING-014,dried glowcap mushroom,SUP-12,Vial,30,N,Winter
ING-015,raven feather,SUP-03,pinch,121,no,Winter
ING-016,powdered raven feather,SUP-13,dram,169,N,Spring
ING-017,salamander tail,SUP-15,sprig,127,no,Spring
ING-018,dried salamander tail,SUP-03,pinch,102,N,Winter
ING-019,crushed nightshade berry,SUP-05,pinch,190,N,Winter
ING-020,dried nightshade berry,SUP-03,sprig,17,N,Autumn
ING-021,kelpwrack,SUP-01,gram,131,N,Spring
ING-022,powdered kelpwrack,SUP-09,Gram,20,N,Summer
ING-023,distilled sun amber,SUP-07,GRAM,148,N,Year-round
ING-024,dried sun amber,SUP-02,pinch,147,no,Summer
ING-025,powdered hollowroot,SUP-11,bundle,70,N,Autumn
ING-026,crushed hollowroot,SUP-08,VIAL,21,Y,Year-round
ING-027,crushed silverleaf,SUP-02,gram,132,no,Spring
ING-028,candied silverleaf,SUP-15,sprig,43,N,Autumn
ING-029,powdered bog myrtle,SUP-10,bundle,173,N,Spring
ING-030,dried bog myrtle,SUP-15,sprig,30,N,Autumn
ING-031,powdered crystal dust,SUP-10,Sprig,55,no,Year-round
ING-032,candied crystal dust,SUP-08,VIAL,219,Y,Autumn
ING-033,candied phoenix ash,SUP-01,gram,36,N,Winter
ING-034,distilled phoenix ash,SUP-09,bundle,5,yes,Summer
ING-035,distilled thistle seed,SUP-09,Gram,152,N,Spring
ING-036,dried thistle seed,SUP-05,Vial,206,N,Autumn
ING-037,candied wolfsbane,SUP-04,bundle,29,N,Winter
ING-038,distilled wolfsbane,SUP-10,bundle,63,FALSE,Summer
ING-039,crushed duskthorn bark,SUP-15,pinch,191,N,Winter
ING-040,distilled duskthorn bark,SUP-13,Bundle,210,N,Spring
ING-041,crushed marsh reed,SUP-07,Gram,59,no,Autumn
ING-042,dried marsh reed,SUP-05,sprig,171,N,Spring
ING-043,powdered starwell water,SUP-13,vial,133,FALSE,Year-round
ING-044,candied starwell water,SUP-06,gram,69,FALSE,Autumn
ING-045,distilled gorgon kelp,SUP-01,gram,91,N,Year-round
ING-046,crushed gorgon kelp,SUP-09,gram,150,N,Winter
ING-047,hearthstone shard,SUP-01,DRAM,140,no,Summer
ING-048,candied hearthstone shard,SUP-06,pinch,173,N,Spring
ING-049,wisp silk,SUP-12,vial,173,N,Autumn
ING-050,powdered wisp silk,SUP-09,sprig,173,N,Summer
ING-051,candied toadstool cap,SUP-10,dram,143,N,Summer
ING-052,powdered toadstool cap,SUP-07,dram,85,N,Summer
ING-053,candied elderflower,SUP-09,Pinch,206,N,Autumn
ING-054,crushed elderflower,SUP-09,bundle,88,TRUE,Summer
ING-055,distilled grave moss,SUP-11,vial,53,Y,Winter
ING-056,grave moss,SUP-10,gram,164,N,Winter
ING-057,crushed sprite wing,SUP-08,pinch,170,no,Spring
ING-058,candied sprite wing,SUP-13,pinch,208,N,Spring
ING-059,distilled tidal pearl,SUP-09,SPRIG,34,N,Year-round
ING-060,crushed tidal pearl,SUP-09,dram,196,N,Year-round
ING-061,distilled cinder bloom,SUP-07,dram,43,N,Autumn
ING-062,dried cinder bloom,SUP-13,Sprig,73,N,Summer
ING-063,distilled yew sap,SUP-05,pinch,76,N,Year-round
ING-064,yew sap,SUP-02,sprig,101,N,Spring
ING-065,candied basilisk fang,SUP-07,pinch,122,N,Winter
ING-066,basilisk fang,SUP-07,DRAM,8,N,Winter
ING-067,candied mirror lichen,SUP-08,GRAM,79,no,Winter
ING-068,distilled mirror lichen,SUP-09,Bundle,207,N,Summer
ING-069,dried storm glass,SUP-05,pinch,102,N,Winter
ING-070,candied storm glass,SUP-12,Sprig,35,N,Winter
ING-071,fen lily,SUP-10,dram,24,N,Winter
ING-072,dried fen lily,SUP-03,gram,86,N,Winter
ING-073,crushed owl pellet,SUP-05,pinch,23,N,Spring
ING-074,powdered owl pellet,SUP-06,sprig,202,N,Spring
ING-075,crushed quartz vein,SUP-04,Sprig,162,N,Spring
ING-076,quartz vein,SUP-10,sprig,68,N,Year-round
ING-077,candied shade fern,SUP-12,bundle,212,N,Year-round
ING-078,dried shade fern,SUP-01,vial,99,N,Spring
ING-079,distilled honeycomb wax,SUP-10,Bundle,65,Y,Year-round
ING-080,powdered honeycomb wax,SUP-13,Gram,147,N,Winter
