potion_sku,ingredient_id,quantity,unit
POT-0001,ING-073,4,pinch
POT-0001,ING-072,5,gram
POT-0002,ING-071,3,DRAM
POT-0002,ING-036,7,vial
POT-0002,ING-080,6,gram
POT-0002,ING-079,6,Bundle
POT-0002,ING-016,4,dram
POT-0003,ING-065,8,pinch
POT-0003,ING-006,3,sprig
POT-0003,ING-005,9,gram
POT-0003,ING-018,10,pinch
POT-0003,ING-043,7,VIAL
POT-0004,ING-076,9,sprig
POT-0004,ING-044,10,gram
POT-0004,ING-065,1,pinch
POT-0004,ING-066,11,dram
POT-0005,ING-075,5,SPRIG
POT-0005,ING-040,10,bundle
POT-0005,ING-004,12,gram
POT-0005,ING-077,8,bundle
POT-0005,ING-061,11,Dram
POT-0006,ING-019,4,pinch
POT-0006,ING-032,6,vial
POT-0006,ING-005,7,gram
POT-0006,ING-074,7,sprig
POT-0006,ING-015,10,PINCH
POT-0007,ING-018,4,pinch
POT-0007,ING-067,11,gram
POT-0008,ING-041,9,gram
POT-0008,ING-023,12,gram
POT-0008,ING-059,12,sprig
POT-0008,ING-069,8,pinch
POT-0008,ING-044,4,gram
POT-0009,ING-029,12,Bundle
POT-0009,ING-039,6,pinch
POT-0009,ING-037,9,BUNDLE
POT-0009,ING-027,12,gram
POT-0010,ING-074,7,Sprig
POT-0010,ING-070,7,Sprig
POT-0011,ING-038,12,bundle
POT-0011,ING-006,8,sprig
POT-0011,ING-037,12,bundle
POT-0012,ING-069,12,pinch
POT-0012,ING-035,2,gram
POT-0012,ING-072,10,gram
POT-0013,ING-068,11,bundle
POT-0013,ING-029,2,bundle
POT-0014,ING-013,7,bundle
POT-0014,ING-018,8,pinch
POT-0014,ING-001,4,Gram
POT-0014,ING-071,5,dram
POT-0014,ING-021,11,gram
POT-0015,ING-074,9,Sprig
POT-0015,ING-030,1,SPRIG
POT-0016,ING-054,7,Bundle
POT-0016,ING-023,3,GRAM
POT-0016,ING-005,5,Gram
POT-0017,ING-039,10,pinch
POT-0017,ING-073,6,pinch
POT-0018,ING-018,2,pinch
POT-0018,ING-065,12,pinch
POT-0018,ING-060,5,Dram
POT-0018,ING-035,1,Gram
POT-0018,ING-025,5,bundle
POT-0019,ING-023,7,gram
POT-0019,ING-079,2,bundle
POT-0019,ING-052,2,dram
POT-0020,ING-062,1,sprig
POT-0020,ING-042,4,sprig
POT-0020,ING-032,5,VIAL
POT-0021,ING-075,11,sprig
POT-0021,ING-074,4,sprig
POT-0021,ING-002,2,vial
POT-0021,ING-034,3,bundle
POT-0022,ING-016,4,dram
POT-0022,ING-038,3,bundle
POT-0022,ING-048,8,Pinch
POT-0022,ING-079,10,bundle
POT-0023,ING-069,9,pinch
POT-0023,ING-028,12,sprig
POT-0023,ING-032,10,vial
POT-0023,ING-077,9,BUNDLE
POT-0023,ING-011,4,dram
POT-0024,ING-022,8,gram
POT-0024,ING-042,4,Sprig
POT-0024,ING-067,8,gram
POT-0025,ING-008,8,dram
POT-0025,ING-059,9,sprig
POT-0025,ING-017,5,Sprig
POT-0025,ING-066,7,dram
POT-0025,ING-054,1,Bundle
POT-0026,ING-006,6,Sprig
POT-0026,ING-055,9,VIAL
POT-0027,ING-061,5,dram
POT-0027,ING-005,3,Gram
POT-0028,ING-048,3,pinch
POT-0028,ING-049,6,vial
POT-0028,ING-058,9,pinch
POT-0028,ING-011,3,Dram
POT-0028,ING-070,4,Sprig
POT-0029,ING-039,11,Pinch
POT-0029,ING-060,7,dram
POT-0030,ING-032,3,vial
POT-0030,ING-059,12,Sprig
POT-0030,ING-045,1,Gram
POT-0031,ING-079,2,bundle
POT-0031,ING-003,8,vial
POT-0031,ING-031,12,Sprig
POT-0031,ING-027,4,Gram
POT-0031,ING-009,7,sprig
POT-0032,ING-008,5,dram
POT-0032,ING-018,12,pinch
POT-0032,ING-065,10,pinch
POT-0033,ING-031,4,sprig
POT-0033,ING-039,5,pinch
POT-0033,ING-019,10,Pinch
POT-0033,ING-067,3,gram
POT-0034,ING-072,9,gram
POT-0034,ING-064,7,sprig
POT-0034,ING-007,5,bundle
POT-0034,ING-045,9,gram
POT-0034,ING-049,4,vial
POT-0035,ING-060,7,DRAM
POT-0035,ING-008,9,dram
POT-0035,ING-072,7,gram
POT-0036,ING-043,6,vial
POT-0036,ING-011,12,Dram
POT-0036,ING-058,1,pinch
POT-0037,ING-010,10,Gram
POT-0037,ING-025,9,bundle
POT-0038,ING-043,4,VIAL
POT-0038,ING-039,12,pinch
POT-0038,ING-002,8,VIAL
POT-0039,ING-051,6,Dram
POT-0039,ING-031,7,sprig
POT-0039,ING-071,11,dram
POT-0040,ING-047,2,Dram
POT-0040,ING-066,12,dram
POT-0040,ING-064,6,SPRIG
POT-0040,ING-060,6,dram
POT-0041,ING-073,12,pinch
POT-0041,ING-029,5,bundle
POT-0042,ING-038,7,bundle
POT-0042,ING-020,4,sprig
POT-0042,ING-026,11,VIAL
POT-0042,ING-043,6,vial
POT-0042,ING-030,8,SPRIG
POT-0043,ING-059,8,sprig
POT-0043,ING-022,9,GRAM
POT-0043,ING-046,1,gram
POT-0043,ING-018,2,PINCH
POT-0043,ING-070,11,sprig
POT-0044,ING-053,11,pinch
POT-0044,ING-018,12,pinch
POT-0045,ING-065,1,pinch
POT-0045,ING-059,11,SPRIG
POT-0045,ING-048,8,pinch
POT-0046,ING-001,9,gram
POT-0046,ING-069,1,pinch
POT-0047,ING-069,12,pinch
POT-0047,ING-037,3,bundle
POT-0047,ING-003,2,vial
POT-0047,ING-065,4,pinch
POT-0048,ING-046,6,GRAM
POT-0048,ING-035,8,gram
POT-0048,ING-051,12,dram
POT-0048,ING-011,11,Dram
POT-0049,ING-005,7,gram
POT-0049,ING-012,9,pinch
POT-0050,ING-022,8,Gram
POT-0050,ING-011,11,Dram
POT-0051,ING-068,4,bundle
POT-0051,ING-006,12,Sprig
POT-0052,ING-035,10,gram
POT-0052,ING-006,3,SPRIG
POT-0052,ING-010,6,gram
POT-0052,ING-036,4,vial
POT-0052,ING-070,12,Sprig
POT-0053,ING-039,10,pinch
POT-0053,ING-021,7,gram
POT-0054,ING-050,12,SPRIG
POT-0054,ING-018,1,pinch
POT-0054,ING-011,4,Dram
POT-0054,ING-065,6,pinch
POT-0055,ING-042,4,sprig
POT-0055,ING-004,7,gram
POT-0055,ING-035,11,gram
POT-0055,ING-058,7,pinch
POT-0055,ING-063,10,pinch
POT-0056,ING-010,3,gram
POT-0056,ING-011,11,dram
POT-0056,ING-035,7,gram
