membership_id,customer_id,guild_id,tier,valid_from,valid_to
MEM-00001,WIZ-00001,GLD-01,apprentice,2024-10-04,
MEM-00002,WIZ-00002,GLD-02,Apprentice,2023-09-29,
MEM-00003,WIZ-00004,GLD-06,archmage,2024-10-09,
MEM-00004,WIZ-00005,GLD-12,adept,2025-08-03,
MEM-00005,WIZ-00006,GLD-04,Apprentice,2023-11-29,
MEM-00006,WIZ-00007,GLD-04,archmage,2026-02-19,
MEM-00007,WIZ-00008,GLD-01,APPRENTICE,2024-04-18,
MEM-00008,WIZ-00009,GLD-02,apprentice,2024-11-11,
MEM-00009,WIZ-00010,GLD-01,Archmage,2024-06-01,
MEM-00010,WIZ-00011,GLD-02,apprentice,2026-01-30,2026-06-04
MEM-00011,WIZ-00011,GLD-02,adept,2026-06-04,
MEM-00012,WIZ-00012,GLD-07,archmage,2024-02-29,
MEM-00013,WIZ-00013,GLD-09,Apprentice,2024-05-26,
MEM-00014,WIZ-00014,GLD-11,archmage,2026-06-26,
MEM-00015,WIZ-00016,GLD-11,apprentice,2025-09-28,
MEM-00016,WIZ-00017,GLD-11,apprentice,2024-08-19,
MEM-00017,WIZ-00018,GLD-05,apprentice,2025-08-21,
MEM-00018,WIZ-00020,GLD-03,apprentice,2026-06-24,
MEM-00019,WIZ-00021,GLD-11,Adept,2026-06-08,
MEM-00020,WIZ-00023,GLD-09,archmage,2024-04-13,
MEM-00021,WIZ-00024,GLD-10,apprentice,2024-10-25,
MEM-00022,WIZ-00025,GLD-02,apprentice,2026-05-29,
MEM-00023,WIZ-00026,GLD-11,adept,2024-08-24,
MEM-00024,WIZ-00029,GLD-06,adept,2026-04-09,
MEM-00025,WIZ-00030,GLD-12,archmage,2026-01-07,
MEM-00026,WIZ-00031,GLD-11,apprentice,2026-02-27,
MEM-00027,WIZ-00032,GLD-08,Apprentice,2025-06-11,2025-11-01
MEM-00028,WIZ-00032,GLD-08,Adept,2025-11-01,
MEM-00029,WIZ-00033,GLD-05,adept,2025-05-28,2026-05-06
MEM-00030,WIZ-00033,GLD-05,archmage,2026-05-06,
MEM-00031,WIZ-00034,GLD-04,apprentice,2025-04-24,
MEM-00032,WIZ-00038,GLD-11,apprentice,2026-04-29,
MEM-00033,WIZ-00039,GLD-01,apprentice,2025-08-18,2026-02-11
MEM-00034,WIZ-00039,GLD-01,adept,2026-02-11,
MEM-00035,WIZ-00042,GLD-04,Adept,2025-10-10,
MEM-00036,WIZ-00044,GLD-07,archmage,2025-12-12,
MEM-00037,WIZ-00045,GLD-06,apprentice,2023-12-22,
MEM-00038,WIZ-00048,GLD-06,adept,2026-02-16,
MEM-00039,WIZ-00049,GLD-03,Apprentice,2025-07-31,
MEM-00040,WIZ-00050,GLD-08,adept,2023-08-12,
MEM-00041,WIZ-00053,GLD-12,adept,2026-05-20,
MEM-00042,WIZ-00054,GLD-04,apprentice,2026-06-08,
MEM-00043,WIZ-00055,GLD-05,APPRENTICE,2026-04-08,
MEM-00044,WIZ-00056,GLD-06,apprentice,2023-03-03,
MEM-00045,WIZ-00057,GLD-08,adept,2025-07-14,
MEM-00046,WIZ-00060,GLD-12,apprentice,2026-04-26,
MEM-00047,WIZ-00062,GLD-05,apprentice,2025-02-08,
MEM-00048,WIZ-00067,GLD-10,apprentice,2025-01-04,
MEM-00049,WIZ-00070,GLD-09,Apprentice,2024-07-19,
MEM-00050,WIZ-00071,GLD-11,Apprentice,2024-09-20,
MEM-00051,WIZ-00072,GLD-01,adept,2025-10-13,
MEM-00052,WIZ-00073,GLD-05,archmage,2024-12-09,
MEM-00053,WIZ-00074,GLD-10,apprentice,2026-03-12,
MEM-00054,WIZ-00077,GLD-04,adept,2025-05-13,
MEM-00055,WIZ-00078,GLD-09,adept,2026-04-16,
MEM-00056,WIZ-00079,GLD-04,apprentice,2023-11-23,
MEM-00057,WIZ-00082,GLD-04,Archmage,2026-05-16,
MEM-00058,WIZ-00083,GLD-12,apprentice,2026-02-23,
MEM-00059,WIZ-00084,GLD-03,apprentice,2024-09-29,
MEM-00060,WIZ-00085,GLD-03,apprentice,2024-01-30,
MEM-00061,WIZ-00086,GLD-04,apprentice,2023-09-03,
MEM-00062,WIZ-00089,GLD-02,apprentice,2026-04-18,
MEM-00063,WIZ-00090,GLD-01,apprentice,2024-05-15,
MEM-00064,WIZ-00091,GLD-10,apprentice,2025-11-10,
MEM-00065,WIZ-00092,GLD-10,Apprentice,2024-01-01,
MEM-00066,WIZ-00093,GLD-06,apprentice,2023-08-18,
MEM-00067,WIZ-00094,GLD-09,apprentice,2024-12-10,2026-02-14
MEM-00068,WIZ-00094,GLD-09,adept,2026-02-14,
MEM-00069,WIZ-00095,GLD-12,Adept,2024-01-18,
MEM-00070,WIZ-00096,GLD-02,apprentice,2024-03-17,
MEM-00071,WIZ-00097,GLD-06,adept,2024-11-02,
MEM-00072,WIZ-00099,GLD-03,Apprentice,2024-10-23,2024-12-17
MEM-00073,WIZ-00099,GLD-03,adept,2024-12-17,
MEM-00074,WIZ-00100,GLD-08,apprentice,2025-10-16,
MEM-00075,WIZ-00101,GLD-02,apprentice,2025-12-14,
MEM-00076,WIZ-00102,GLD-06,apprentice,2024-11-28,
MEM-00077,WIZ-00105,GLD-06,Archmage,2025-08-11,
MEM-00078,WIZ-00106,GLD-08,apprentice,2024-11-22,
MEM-00079,WIZ-00107,GLD-05,Adept,2026-06-18,
MEM-00080,WIZ-00109,GLD-08,apprentice,2023-09-11,
MEM-00081,WIZ-00110,GLD-06,apprentice,2026-04-20,
MEM-00082,WIZ-00111,GLD-12,Apprentice,2024-10-23,2026-02-05
MEM-00083,WIZ-00111,GLD-12,adept,2026-02-05,
MEM-00084,WIZ-00112,GLD-03,Adept,2025-07-09,
MEM-00085,WIZ-00113,GLD-05,adept,2026-06-26,
MEM-00086,WIZ-00114,GLD-02,apprentice,2025-01-11,
MEM-00087,WIZ-00116,GLD-03,apprentice,2025-03-19,2026-06-04
MEM-00088,WIZ-00116,GLD-03,adept,2026-06-04,
MEM-00089,WIZ-00117,GLD-04,adept,2025-02-03,
MEM-00090,WIZ-00118,GLD-05,Apprentice,2026-02-17,
MEM-00091,WIZ-00119,GLD-03,apprentice,2025-05-05,
MEM-00092,WIZ-00120,GLD-08,adept,2024-10-10,
MEM-00093,WIZ-00122,GLD-09,apprentice,2026-01-14,
MEM-00094,WIZ-00123,GLD-09,apprentice,2025-07-27,2025-11-08
MEM-00095,WIZ-00123,GLD-09,adept,2025-11-08,
MEM-00096,WIZ-00124,GLD-02,apprentice,2025-08-20,
MEM-00097,WIZ-00125,GLD-05,apprentice,2025-04-09,
MEM-00098,WIZ-00126,GLD-01,archmage,2023-12-19,
MEM-00099,WIZ-00127,GLD-09,apprentice,2026-03-04,
MEM-00100,WIZ-00128,GLD-09,apprentice,2024-04-03,
MEM-00101,WIZ-00129,GLD-08,adept,2026-06-17,
MEM-00102,WIZ-00131,GLD-11,Apprentice,2023-11-22,
MEM-00103,WIZ-00132,GLD-05,apprentice,2025-07-06,
MEM-00104,WIZ-00136,GLD-06,apprentice,2025-07-20,
MEM-00105,WIZ-00138,GLD-10,adept,2025-04-18,
MEM-00106,WIZ-00139,GLD-11,apprentice,2024-02-28,
MEM-00107,WIZ-00140,GLD-12,adept,2025-01-16,
MEM-00108,WIZ-00141,GLD-08,apprentice,2025-10-20,2026-05-14
MEM-00109,WIZ-00141,GLD-08,adept,2026-05-14,
MEM-00110,WIZ-00142,GLD-10,apprentice,2025-11-15,
MEM-00111,WIZ-00143,GLD-08,apprentice,2025-12-19,
MEM-00112,WIZ-00144,GLD-10,Apprentice,2026-04-21,
MEM-00113,WIZ-00146,GLD-07,apprentice,2024-06-07,
MEM-00114,WIZ-00147,GLD-08,ADEPT,2024-07-29,
MEM-00115,WIZ-00152,GLD-03,apprentice,2026-01-20,
MEM-00116,WIZ-00154,GLD-06,adept,2026-06-06,
MEM-00117,WIZ-00155,GLD-10,adept,2026-05-25,
MEM-00118,WIZ-00156,GLD-11,adept,2024-11-11,
MEM-00119,WIZ-00158,GLD-10,Apprentice,2025-08-05,
MEM-00120,WIZ-00159,GLD-04,Apprentice,2024-08-13,
MEM-00121,WIZ-00161,GLD-01,Apprentice,2026-02-24,
MEM-00122,WIZ-00163,GLD-01,apprentice,2025-01-14,
MEM-00123,WIZ-00164,GLD-09,adept,2026-03-20,
MEM-00124,WIZ-00165,GLD-11,ADEPT,2024-04-15,
MEM-00125,WIZ-00166,GLD-05,adept,2024-02-26,
MEM-00126,WIZ-00168,GLD-03,Archmage,2026-01-24,
MEM-00127,WIZ-00171,GLD-04,ADEPT,2026-03-17,
MEM-00128,WIZ-00174,GLD-08,apprentice,2024-03-17,
MEM-00129,WIZ-00175,GLD-11,adept,2026-05-26,
MEM-00130,WIZ-00176,GLD-08,apprentice,2025-09-22,
MEM-00131,WIZ-00178,GLD-10,adept,2026-05-15,
MEM-00132,WIZ-00179,GLD-01,apprentice,2024-02-18,
MEM-00133,WIZ-00180,GLD-01,apprentice,2026-02-17,
MEM-00134,WIZ-00181,GLD-04,Apprentice,2024-08-17,
MEM-00135,WIZ-00186,GLD-04,apprentice,2024-10-27,2026-04-17
MEM-00136,WIZ-00186,GLD-04,Adept,2026-04-17,
MEM-00137,WIZ-00187,GLD-12,Adept,2023-02-05,
MEM-00138,WIZ-00188,GLD-10,apprentice,2025-03-02,
MEM-00139,WIZ-00190,GLD-07,Apprentice,2024-08-03,
MEM-00140,WIZ-00192,GLD-03,Apprentice,2023-09-04,
MEM-00141,WIZ-00193,GLD-07,Apprentice,2024-07-19,
MEM-00142,WIZ-00194,GLD-12,apprentice,2025-06-04,
MEM-00143,WIZ-00195,GLD-06,apprentice,2024-12-04,
MEM-00144,WIZ-00196,GLD-08,apprentice,2025-01-03,
MEM-00145,WIZ-00197,GLD-08,Apprentice,2024-12-18,2026-05-04
MEM-00146,WIZ-00197,GLD-08,adept,2026-05-04,
MEM-00147,WIZ-00199,GLD-10,apprentice,2023-08-04,
MEM-00148,WIZ-00200,GLD-06,ADEPT,2026-05-12,
MEM-00149,WIZ-00201,GLD-02,archmage,2023-12-02,
MEM-00150,WIZ-00202,GLD-08,Apprentice,2026-05-31,
MEM-00151,WIZ-00203,GLD-06,apprentice,2026-01-19,
MEM-00152,WIZ-00208,GLD-04,adept,2024-05-10,
MEM-00153,WIZ-00209,GLD-12,adept,2026-03-11,2026-05-31
MEM-00154,WIZ-00209,GLD-12,archmage,2026-05-31,
MEM-00155,WIZ-00210,GLD-12,apprentice,2026-01-07,
